Timestamp,University,Gender,Current academic year,G.P.A value,sports,Number of practice days per week 
2018/05/26 9:34:23 PM GMT+5:30,University of Moratuwa,Female,1st year,Not given,No,
2018/05/26 9:41:05 PM GMT+5:30,University of Moratuwa,Female,1st year,Not given,No,
2018/05/26 9:51:28 PM GMT+5:30,University of Moratuwa,Male,4th year,3.3,No,
2018/05/26 10:56:11 PM GMT+5:30,University of Moratuwa,Male,4th year,3.4,Yes,2 days
2018/05/26 10:57:24 PM GMT+5:30,University of Moratuwa,Female,1st year,Not yet given,No,
2018/05/26 11:50:04 PM GMT+5:30,University of Sri Jayawardenapura,Prefer not to say,2nd year,2,Yes,more than 3 days
2018/05/27 10:41:47 AM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.8,No,
2018/05/28 10:19:43 PM GMT+5:30,University of Peradeniya,Male,4th year,2.9,Yes,2 days
2018/05/28 10:41:26 PM GMT+5:30,University of Moratuwa,Female,4th year,3.02,Yes,more than 3 days
2018/05/28 10:55:53 PM GMT+5:30,University of Peradeniya,Female,4th year,2.991,Yes,2 days
2018/05/28 11:25:34 PM GMT+5:30,University of Peradeniya,Male,4th year,2.75,No,
2018/05/29 6:14:53 AM GMT+5:30,University of Peradeniya,Female,4th year,2.946,No,
2018/05/29 11:54:12 AM GMT+5:30,University of Peradeniya,Female,3rd year,3.59,No,
2018/05/31 4:28:45 AM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.6,Yes,2 days
2018/05/31 4:37:59 AM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.9,Yes,2 days
2018/05/31 5:28:38 AM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.8,No,
2018/05/31 8:38:45 AM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.48,No,
2018/05/31 11:04:46 AM GMT+5:30,University of Sri Jayawardenapura,Female,Graduated,3.8,No,
2018/05/31 11:16:25 AM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,3.75,No,
2018/05/31 11:20:44 AM GMT+5:30,University of Sri Jayawardenapura,Male,Graduated,2.9,No,
